commit,date,change_type,parent_schema,property_context,old_value,new_value,actions_url
8e45a23c454b,2025-03-14,removed,AWSHardwareSpec20240805,diskSizeGB,10,,https://github.com/mongodb/openapi/actions/runs/13862712981
8e45a23c454b,2025-03-14,removed,AdvancedClusterDescription,diskSizeGB,10,,https://github.com/mongodb/openapi/actions/runs/13862712981
8e45a23c454b,2025-03-14,removed,AzureHardwareSpec20240805,diskSizeGB,10,,https://github.com/mongodb/openapi/actions/runs/13862712981
8e45a23c454b,2025-03-14,removed,DedicatedHardwareSpec20240805,diskSizeGB,10,,https://github.com/mongodb/openapi/actions/runs/13862712981
8e45a23c454b,2025-03-14,removed,GCPHardwareSpec20240805,diskSizeGB,10,,https://github.com/mongodb/openapi/actions/runs/13862712981
8e45a23c454b,2025-03-14,removed,HardwareSpec20240805,diskSizeGB,10,,https://github.com/mongodb/openapi/actions/runs/13862712981
8e45a23c454b,2025-03-14,removed,TenantHardwareSpec20240805,diskSizeGB,10,,https://github.com/mongodb/openapi/actions/runs/13862712981
